GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of Parametric algorithm
Start time: Wed Jun 10 19:27:54 CEST 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.phi0	settings.height	settings.weight	settings.age	settings.HR_nominal	settings.HR_max	settings.V_PV_init	settings.heart_R_vlv	settings.heart_R_LA	settings.heart_R_RA	settings.heart_drive_offset	settings.heart_drive_offset_maxAct	settings.heart_drive_k_TS	settings.heart_drive_k_TS_maxAct	settings.heart_drive_k_TR	settings.heart_drive_k_TR_maxAct	settings.heart_drive_drive	settings.heart_atr_Tact	settings.heart_atr_Emin	settings.heart_atr_Emax	settings.heart_atr_sigma_a	settings.heart_vntr_Vw_factor	settings.heart_vntr_AmRef_factor	settings.heart_vntr_sigma_act_factor	settings.heart_vntr_sigma_actMaxAct_factor	settings.heart_vntr_k_passive_factor	settings.thoracic_pressure_ratio	settings.hydrostaticLevel_correction	settings.TPR	settings.TR_frac	settings.k_E	settings.R_vc	settings.tissues_nominal_pressure	settings.tissues_nominal_zpv	settings.tissues_nominal_stressed_volume	settings.tissues_nominal_cardiac_output	settings.Ra_factor	settings.tissues_Ra_tau	settings.tissuesCompliance_PhiEffect	settings.exercise_factor_on_tissue_compliance	settings.tissues_gamma	settings.exercise_factor	settings.veins_gamma	settings.veins_alpha	settings.veins_activation_tau	settings.venous_diameter_correction	settings.vessel_a	settings.vessel_b	settings.vessel_c	settings.vessel_d	settings.blood_mu	settings.blood_rho	settings.baro_d0	settings.baro_Ts	settings.baro_delta0_factor	settings.baro_delta0_aor	settings.baro_delta0_car	settings.baro_g	settings.baro_fsn	settings.baro_f1	settings.pulm_CO_target	settings.pulm_C_PV	settings.pulm_C_PA	settings.pulm_R_PA
34	34	1	0.38083735034455307	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.1	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
35	35	1	0.27450347030700684	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.09000000000000001	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
36	36	1	0.2745015448091932	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.11	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
37	37	1	0.2745042596200623	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.045000000000000005	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
38	38	1	0.274503090579252	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05500000000000001	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
39	39	1	0.2745045443537627	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.135	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
40	40	1	0.27450809973093304	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.165	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
41	41	1	0.2745031439296672	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.1125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
42	42	1	0.2745030151828909	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.1375	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
43	43	1	0.2754616456288908	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.8133750000000001	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
44	44	1	0.3529750919453327	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.994125	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
45	45	1	0.4076059519507388	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	0.954	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
46	46	1	0.30075607362396295	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.166	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
47	47	1	0.2726849551496523	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	1.8	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
48	48	1	0.3260352384085461	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.2	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
49	49	1	0.2730008274845982	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	27.225	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
50	50	1	0.2995543541982806	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	33.275000000000006	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
51	51	1	0.27450193822031643	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	0.9	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
52	52	1	0.2745022632222247	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.1	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
53	53	1	0.3118950919848712	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.7200000000000001	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
54	54	1	0.27474677970547584	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8800000000000001	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
55	55	1	0.27657650117008026	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	0.9	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
56	56	1	0.27221992043846477	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.1	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
57	57	1	0.31365236791511125	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.075411368E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
58	58	1	0.29874669214448607	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.3143916720000002E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
59	59	1	0.4097750521776028	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	4.6070595	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
60	60	1	0.29422283131632637	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.6308505	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
61	61	1	0.2333033942070064	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.32231250000000006	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
62	62	1	0.36514159021907133	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.3939375000000001	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
63	63	1	0.25814717036299806	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.225	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
64	64	1	0.3016719615720084	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.275	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
65	65	1	0.39567114354816585	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2399.8029734700003	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
66	66	1	0.2603215564621526	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2933.09252313	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
67	67	1	0.15954394823265114	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.0020736	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
68	68	1	0.9405246552631296	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.0025344000000000005	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
69	69	1	0.2172905851703366	0.25	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.155E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
